T0 t0
1.07882 6758.86
1.92662 15778.7
-0.897259 936.862
0.869689 5483.42
-2.58151 173.865
2.56515 29879.9
-0.164959 1948.54
-4.0167 41.3921
3.94593 118862
2.75127 35992.3
-1.62427 452.831
-0.561796 1310.28
-0.307002 1690.52
0.608645 4223.58
-3.58264 63.8897
-2.4557 197.176
-0.904574 930.033
-0.126803 2024.33
0.348716 3256.83
1.62942 11721.8
0.360457 3295.3
3.84348 107288
-4.7891 19.1193
2.25339 21876.8
-1.02364 825.639
1.9739 16542.6
1.50902 10392.2
-0.544591 1333.02
-0.868731 963.973
-0.204282 1873.4
6.16369 1.09196e+06
6.09846 1.023e+06
0.4427 3577.77
6.55916 1.62166e+06
3.1933 55999.2
-2.38604 211.4
4.76562 269794
1.09362 6859.67
-6.98614 2.12476
0.0325701 2374.08
-3.57982 64.0702
-1.32918 608.269
-0.200882 1879.78
4.3842 184241
6.18272 1.11294e+06
1.29907 8424.17
1.68004 12330.5
0.8094 5162.59
3.67281 90455
2.75229 36029.3
0.101491 2543.47
-0.0184239 2256.05
-1.05875 797.152
-0.148777 1980.33
5.40901 513396
2.17774 20282.9
3.7321 95979.8
0.951156 5948.83
3.3302 64215.2
5.39606 506793
0.815299 5193.14
-1.61532 456.904
0.58393 4120.48
-1.06628 791.17
-3.17653 95.8959
-1.53449 495.371
2.72108 34922
2.95162 43976.6
3.8742 110635
-2.18844 257.586
3.68229 91316.4
0.820835 5221.97
-0.855384 976.926
-1.1164 752.493
0.241016 2924.3
3.19236 55946.8
3.17122 54776.2
-1.24219 663.549
3.68847 91882.6
-1.53002 497.588
-4.2946 31.3493
0.308455 3128.31
3.39373 68427
1.63428 11779
1.53653 10682.1
1.00153 6256.15
1.76981 13488.7
0.280791 3042.96
2.63361 31997.1
-1.59399 466.753
2.79735 37689.9
3.53738 78997.5
-0.510743 1378.91
3.85685 108733
5.15379 397753
-5.22304 12.3884
1.86899 14895.1
3.07152 49578.6
3.99199 124466
3.43183 71084.7
1.54381 10760.1
3.2506 59302
-3.13281 100.182
-5.19937 12.6851
3.46325 73353.3
0.852254 5388.64
-1.38357 576.07
-3.11315 102.17
2.10638 18885.9
0.694713 4603.2
6.46568 1.47692e+06
1.99029 16816
2.62093 31594.2
-0.287741 1723.4
3.41454 69865.7
3.63141 86786
0.105753 2554.34
1.35691 8925.8
1.27025 8184.87
5.14528 394382
1.11372 6998.95
-3.34409 81.1021
-0.652504 1196.66
-3.63675 60.5244
0.0268883 2360.63
-0.465441 1442.82
-1.33845 602.652
-0.829783 1002.26
-2.14386 269.331
3.63227 86860.7
-0.680509 1163.61
4.16114 147405
2.89005 41350.7
-0.470169 1436.01
8.15385 7.98956e+06
1.10991 6972.35
1.92908 15817.5
1.87555 14993
-1.31852 614.786
2.11153 18983.4
5.33842 478407
-0.75284 1082.42
-2.56584 176.612
-0.880339 952.848
3.23234 58229
2.12553 19251.2
2.30478 23030.5
-2.71255 152.512
-0.67676 1167.98
6.47361 1.48869e+06
5.47994 551137
-3.70386 56.5956
-0.383766 1565.61
3.11385 51722.2
1.33434 8726.64
1.67397 12256
-3.48213 70.6447
1.59627 11339.7
2.23884 21560.9
-1.73373 405.882
-2.97837 116.912
-2.41152 206.081
2.83985 39325.9
3.72541 95340
-4.19087 34.7761
2.06602 18138.9
-3.19304 94.3256
1.66524 12149.4
4.04971 131862
1.23885 7931.9
1.91444 15587.6
5.09538 375187
0.149615 2668.87
-0.430618 1493.95
6.81466 2.09372e+06
4.85193 294113
-1.67218 431.648
2.181 20349.2
-4.66178 21.7152
1.09577 6874.43
2.46027 26904.9
-0.75714 1077.78
3.28683 61489.7
3.35707 65964.1
2.78542 37242.7
-2.20568 253.182
1.39212 9245.71
0.46007 3640.46
6.36064 1.32965e+06
-1.92336 335.773
-2.37282 214.214
-0.208839 1864.89
0.373705 3339.24
5.5698 602954
-1.62183 453.942
0.291336 3075.22
2.08393 18466.6
0.503757 3803.02
2.23305 21436.3
2.74423 35739.9
1.2279 7845.49
3.14368 53288.6
2.67888 33479.2
0.305396 3118.76
2.77222 36754.4
5.13171 389064
0.983998 6147.45
1.11539 7010.64
1.25189 8036.01
1.63126 11743.5
3.70696 93596.7
0.922927 5783.25
0.2164 2853.19
4.57186 222271
0.758051 4904.19
0.101443 2543.35
-5.57201 8.73888
3.02836 47484.2
4.38954 185226
8.28414 9.10133e+06
2.1036 18833.6
3.90946 114605
-1.31646 616.052
5.53915 584752
0.897351 5637.21
2.26812 22201.5
3.20564 56694.8
0.734341 4789.28
-5.0545 14.6625
-6.02371 5.56272
0.531542 3910.17
-1.78089 387.186
2.59177 30686.2
1.27554 8228.31
-1.6503 441.196
-1.02785 822.169
0.790914 5068.03
0.846022 5355.16
-2.35393 218.298
-2.19124 256.866
4.53266 213727
-0.583829 1281.73
4.18983 151695
2.7028 34289.6
1.0978 6888.44
1.47114 10006
-0.425788 1501.18
-2.021 304.537
5.21988 424927
0.869924 5484.7
3.09959 50990
0.954203 5966.99
0.496151 3774.21
2.79744 37693.2
1.32177 8617.59
1.51186 10421.7
-2.93035 122.664
0.689203 4577.91
0.92434 5791.43
4.18535 151016
2.23841 21551.5
2.50703 28192.9
0.799468 5111.57
1.65349 12007.4
-4.30344 31.0735
1.91309 15566.6
4.64903 240104
4.58444 225085
1.53641 10680.8
0.212964 2843.41
3.84634 107596
0.0315364 2371.63
-0.284314 1729.31
-0.468516 1438.39
-0.219037 1845.97
0.346756 3250.46
-0.162547 1953.25
-1.42974 550.076
2.2607 22037.4
2.18763 20484.5
2.12789 19296.6
2.62991 31879.1
-1.07751 782.334
0.301316 3106.06
2.02715 17447.4
-1.08492 776.557
3.21898 57456.1
1.48358 10131.2
2.01437 17225.9
-1.01026 836.759
-0.318357 1671.43
1.47184 10013
2.21506 21054.2
7.04662 2.64034e+06
1.20505 7668.26
-1.90269 342.784
-0.153427 1971.14
4.04185 130829
-0.030259 2229.51
2.61265 31333.6
-1.2835 636.698
-0.114944 2048.47
0.363737 3306.12
1.52621 10572.5
6.74128 1.9456e+06
1.60206 11405.6
-3.31933 83.1345
0.30641 3121.92
-0.668785 1177.34
3.03756 47923
-2.23668 245.455
-1.11463 753.83
-2.77415 143.401
1.05988 6632.08
-0.0437812 2199.56
1.38083 9141.93
1.4554 9849.64
-0.708061 1131.99
0.515424 3847.65
1.25236 8039.8
4.30199 169699
-3.94937 44.2751
-4.9011 17.0934
0.427908 3525.23
-0.486008 1413.45
3.16835 54619.6
-0.924474 911.708
-1.02116 827.688
-0.291863 1716.31
5.18068 408594
-1.2526 656.677
0.736067 4797.55
0.350835 3263.74
-0.915941 919.521
-4.66238 21.7022
0.0264185 2359.52
1.74842 13203.2
-0.421311 1507.92
5.98639 914546
2.44727 26557.5
1.2634 8129
5.12088 384874
4.04413 131128
-0.95172 887.203
0.0141832 2330.83
0.0355565 2381.18
-0.142437 1992.92
3.05729 48878
0.989401 6180.75
-3.79431 51.7014
4.6872 249446
-0.0606281 2162.82
-1.86414 356.257
-4.2297 33.4514
1.15874 7321.21
-0.620423 1235.67
1.983 16693.8
-1.90197 343.031
-0.298427 1705.08
3.76093 98787.5
0.94431 5908.25
2.1481 19690.5
1.45406 9836.52
1.75886 13341.8
4.0391 130469
2.97832 45166.5
-0.931508 905.318
0.130264 2617.72
-6.62072 3.06201
1.88062 15069.3
2.11205 18993.4
0.303767 3113.68
2.711 34572
-3.28734 85.837
-0.442707 1475.99
-0.0638276 2155.91
-0.84305 989.05
9.17234 2.21231e+07
2.94448 43663.8
3.3061 62686.2
-6.12003 5.05188
3.37977 67478.5
0.372279 3334.49
-0.987097 856.366
1.70326 12620.2
4.66547 244082
-1.33247 606.272
-2.29598 231.322
1.1339 7141.62
3.55482 80387.3
0.61692 4258.68
-0.210838 1861.16
-0.0556334 2173.65
3.76309 99001.2
3.60344 84392.8
-0.399807 1540.69
2.07271 18260.7
-1.70501 417.707
-0.00991376 2275.33
0.234116 2904.19
3.50186 76240.9
2.83593 39172.1
2.73367 35364.4
2.85701 40006.8
-0.407193 1529.36
2.45715 26821
0.397167 3418.52
-1.75743 396.375
-0.517964 1368.99
0.357198 3284.57
2.39308 25156.6
0.590242 4146.57
-1.4743 526.104
-0.5312 1350.99
-0.434706 1487.85
6.62193 1.72671e+06
-0.156127 1965.83
2.25859 21990.8
1.55996 10935.3
-2.69852 154.667
0.296813 3092.11
-2.64131 163.773
0.0698058 2464.15
2.50418 28112.6
1.47679 10062.6
1.45819 9877.22
-2.17206 261.841
-1.13994 734.991
2.99615 45979
0.927273 5808.44
-2.99454 115.037
0.292689 3079.38
-1.78706 384.805
-0.729516 1107.96
-2.9911 115.433
2.59025 30639.4
-1.1224 747.997
-0.628073 1226.26
4.50762 208442
2.20028 20745.3
0.116777 2582.65
2.40963 25576.4
3.00088 46197
2.42377 25940.5
1.80496 13971.3
3.34958 65471.8
3.08799 50402.1
0.0203599 2345.27
2.7268 35122.4
-1.46082 533.243
-0.659357 1188.49
-1.31507 616.913
2.65369 32646.2
3.42461 70572.8
-1.68096 427.876
5.93788 871245
1.32145 8614.83
0.289876 3070.73
3.73127 95900.4
-2.7068 153.391
-3.33795 81.6013
3.78151 100842
0.665472 4470.55
2.68983 33847.6
2.27629 22383.6
2.72577 35086.3
-1.78301 386.365
3.80402 103137
4.55157 217806
-0.252982 1784.36
3.77436 100123
3.56951 81577
-3.50063 69.3497
1.38307 9162.43
0.457125 3629.75
-0.282789 1731.95
0.492338 3759.84
-0.547302 1329.41
-1.75846 395.967
-0.954496 884.744
1.92176 15702.2
2.98962 45679.8
3.60061 84153.7
3.37299 67022.8
0.942635 5898.36
-0.634696 1218.16
1.68275 12364
-0.226803 1831.69
0.486393 3737.56
3.31093 62989.5
0.883473 5559.52
-1.16258 718.537
2.75494 36125
0.717496 4709.28
1.17871 7468.93
2.10802 18917
-4.02843 40.9096
2.81756 38459.2
0.202577 2814.03
-0.312332 1681.53
1.95931 16303
1.8948 15284.5
0.412758 3472.23
3.48664 75089
4.75706 267493
-2.04261 298.028
0.0420772 2396.76
-3.22066 91.7559
4.55097 217677
-0.489165 1408.99
1.30628 8485.18
1.88415 15122.5
-2.56872 176.104
3.54579 79665.3
1.33468 8729.62
2.97614 45068.2
-1.0304 820.07
1.8889 15194.7
-0.79747 1035.17
0.902588 5666.81
1.10743 6955.08
-3.95463 44.0429
1.58276 11187.5
3.0675 49379.8
3.13686 52926.3
3.38007 67499.1
-0.844487 987.629
0.271128 3013.7
2.43117 26133.2
-2.43917 200.461
2.30805 23106
5.51643 571615
-5.19013 12.8028
-1.54855 488.454
3.77231 99918.4
2.70346 34312.2
3.34714 65312.3
1.88685 15163.4
1.55796 10913.4
3.36791 66683.2
0.505112 3808.18
0.914417 5734.24
2.06971 18206
1.74285 13129.9
-0.968903 872.089
-0.969228 871.806
5.6951 683443
-3.58616 63.6647
4.35941 179728
-2.82212 136.685
1.69969 12575.3
0.660527 4448.5
4.41754 190486
-0.244899 1798.84
1.04582 6539.48
2.03645 17610.3
-0.624271 1230.93
1.86706 14866.3
2.96774 44691.5
4.83212 288346
1.34524 8822.29
2.75441 36105.5
0.0841588 2499.77
3.95234 119627
2.49896 27966.4
2.50405 28108.9
3.76691 99379.6
-0.301394 1700.03
0.706117 4656
-1.31542 616.696
0.139149 2641.08
-2.83476 134.968
-0.350374 1618.77
0.103057 2547.46
6.83791 2.14297e+06
3.67719 90852.1
-0.0181438 2256.68
0.987518 6169.13
0.678514 4529.24
1.26475 8139.97
-1.33865 602.536
3.97979 122957
3.19028 55830.6
-4.53088 24.7522
0.259119 2977.72
0.582877 4116.14
-3.47619 71.0654
-2.3378 221.85
1.51129 10415.9
3.31462 63222.2
-3.24684 89.3856
4.21581 155687
8.56729 1.20803e+07
-1.6084 460.079
1.27698 8240.12
0.532004 3911.98
2.6319 31942.5
0.295425 3087.82
-2.56813 176.209
0.976464 6101.31
0.630144 4315.37
1.5682 11025.8
2.33318 23693.9
1.21135 7716.69
4.01539 127412
7.74121 5.2883e+06
4.64681 239571
-0.060197 2163.75
-1.78736 384.69
-1.58615 470.429
1.04902 6560.44
2.11824 19111.2
4.18635 151168
-2.15629 266.002
6.29317 1.24291e+06
0.14831 2665.39
4.60975 230854
-1.28053 638.593
-0.655394 1193.21
-3.17847 95.7104
1.36646 9011.44
-2.8359 134.813
-0.912555 922.641
0.839256 5319.05
2.99867 46095.1
3.62144 85925.5
-1.06599 791.401
-0.743556 1092.52
-4.45499 26.7037
1.84041 14475.3
1.93913 15977.3
0.681286 4541.81
2.05315 17906.9
-2.67966 157.611
-3.40461 76.3388
-0.223002 1838.66
-2.46859 194.65
3.48883 75253.7
0.977961 6110.45
1.94663 16097.6
-0.0577532 2169.04
4.46447 199638
3.7662 99309.5
-0.911556 923.562
-0.914633 920.725
4.06056 133300
3.52651 78143.8
2.29808 22876.7
1.53103 10623.5
-0.0742583 2133.54
3.10265 51146.1
3.94943 119279
3.66509 89758.8
0.196855 2797.97
-2.30305 229.694
-1.65507 439.099
3.48136 74694.3
1.48712 10167.1
3.32087 63618.8
4.49361 205541
-1.17866 707.072
-0.435375 1486.86
0.187782 2772.7
1.68252 12361.1
3.67646 90785.7
-2.69951 154.514
1.81317 14086.4
1.06135 6641.84
1.42667 9570.69
2.53618 29026.8
2.41579 25734.5
0.987871 6171.3
-0.738174 1098.41
1.61423 11545.2
4.06833 134340
0.13917 2641.14
-2.38579 211.452
-0.748819 1086.78
2.09475 18667.7
-0.650106 1199.53
-1.55807 483.827
-0.800941 1031.59
1.80344 13949.9
5.16323 401524
0.394121 3408.12
1.61888 11599
3.05186 48613.5
3.60911 84872
0.420787 3500.22
5.14598 394659
2.45975 26890.8
2.45494 26762
8.53987 1.17535e+07
3.56697 81370
-0.908583 926.313
-0.0337048 2221.84
4.71164 255616
1.95328 16205.1
3.55851 80684.6
2.06488 18118.2
0.996766 6226.44
2.79223 37497.2
-1.38302 576.387
-2.4066 207.099
0.65182 4409.93
-1.97865 317.71
-1.35281 594.061
-0.364922 1595.39
-2.96496 118.491
1.2329 7884.82
-2.73383 149.301
1.83669 14421.6
-0.0389203 2210.28
0.380002 3360.34
8.35321 9.75222e+06
-3.42436 74.8459
0.168336 2719.3
-1.22414 675.633
1.37525 9091
1.36093 8961.8
1.48218 10117.1
-2.02475 303.397
1.12127 7052.01
1.1444 7217.02
1.87579 14996.7
3.6109 85024.8
1.43624 9662.71
-0.0459058 2194.89
5.07579 367907
-0.373525 1581.72
1.82437 14245.1
-0.106387 2066.08
5.07653 368179
-0.316129 1675.16
1.36774 9023.06
3.80276 103007
0.23056 2893.88
2.29136 22723.4
0.947537 5927.34
0.573625 4078.24
-1.37832 579.099
2.22715 21310.4
-1.67838 428.98
-0.0738968 2134.31
2.55648 29622.2
1.91222 15553.2
3.62683 86389.4
2.27003 22243.9
-0.41571 1516.39
0.761898 4923.09
-1.0021 843.61
-1.79566 381.51
3.13095 52614.3
1.05152 6576.88
3.07025 49515.8
-4.7001 20.8989
1.89321 15260.3
4.43432 193710
-0.396022 1546.53
-0.689109 1153.65
-0.248889 1791.67
2.75546 36143.4
-2.10662 279.548
-1.05729 798.312
3.26838 60365.7
2.82175 38620.7
-1.11698 752.062
3.67245 90421.7
-5.46437 9.73206
2.62035 31575.7
0.758293 4905.38
0.727156 4754.99
2.04795 17814.1
2.70599 34399.1
-0.624773 1230.31
2.40674 25502.6
0.858423 5421.99
5.47251 547055
-3.04765 109.087
-0.802813 1029.66
0.351882 3267.16
4.43397 193642
0.522925 3876.62
0.930811 5829.03
2.48244 27508.1
0.243371 2931.19
0.120912 2593.35
3.79035 101736
3.66454 89709.6
-6.49162 3.48397
4.78291 274499
-0.123251 2031.53
1.54746 10799.5
-1.09767 766.723
1.16976 7402.33
-0.291326 1717.23
-1.17572 709.157
3.13718 52943.4
1.38305 9162.2
3.01269 46746
3.95014 119364
1.43572 9657.78
0.142668 2650.39
-3.06641 107.06
3.21627 57300.5
-4.701 20.88
-1.6586 437.553
0.622815 4283.86
1.87465 14979.6
-0.845388 986.74
2.84851 39668.2
2.6628 32945.1
-1.73355 405.955
0.836168 5302.65
-3.25341 88.7994
4.80225 279860
1.37044 9047.39
0.0624804 2446.16
1.39397 9262.87
2.6736 33302.8
-2.65776 161.102
1.47012 9995.77
1.817 14140.4
2.33929 23839.1
1.94454 16063.9
-1.36228 588.462
-0.487242 1411.7
-0.638934 1213.01
0.0424939 2397.76
0.18701 2770.56
1.55227 10851.6
1.05828 6621.46
5.72685 705490
0.749176 4860.86
0.675082 4513.72
-0.260729 1770.58
-0.71092 1128.76
2.36043 24348.4
-0.454468 1458.74
-3.07648 105.987
2.1905 20543.4
-1.72498 409.451
3.23102 58152.1
-0.0995259 2080.3
-0.296576 1708.24
-1.30795 621.318
2.76151 36363
0.29364 3082.31
0.312553 3141.16
-0.473878 1430.7
0.740984 4821.2
-0.650835 1198.66
-0.23054 1824.85
-1.5077 508.819
2.55418 29554.1
4.0147 127325
-0.523631 1361.26
3.54939 79952.4
2.8252 38754.1
0.502155 3796.93
3.53303 78654.8
0.397377 3419.23
4.65139 240670
2.15959 19918.1
-0.444282 1473.67
1.07684 6745.53
1.28622 8316.61
0.667753 4480.76
2.12741 19287.4
0.318795 3160.83
-0.559576 1313.19
-2.75076 146.794
1.65192 11988.6
2.53442 28975.7
1.21485 7743.76
6.63022 1.74108e+06
1.51305 10434.2
3.64298 87796.2
-0.664605 1182.27
-1.28314 636.928
-0.0451739 2196.5
2.09706 18710.7
-1.90429 342.238
4.07026 134599
-0.724883 1113.11
0.151173 2673.03
4.63342 236384
0.378571 3355.53
0.0478308 2410.59
-0.868407 964.285
5.15588 398586
2.68221 33590.7
5.11069 380973
1.32537 8648.67
0.661503 4452.84
3.00567 46418.8
-1.15789 721.912
-1.91158 339.752
6.70601 1.87817e+06
-3.83407 49.6861
0.205469 2822.18
1.64802 11941.9
1.25895 8092.93
0.134671 2629.28
2.52228 28626.1
-0.1254 2027.17
-3.70508 56.5265
3.08321 50161.5
1.58033 11160.3
5.2714 447394
2.3934 25164.6
2.02082 17337.2
3.67702 90836
1.39028 9228.66
0.68211 4545.55
0.294827 3085.97
5.21598 423272
3.64727 88173.4
1.52569 10566.9
-5.87454 6.4576
1.7578 13327.6
-3.18177 95.3951
1.67385 12254.4
-2.21622 250.528
2.1902 20537.2
6.10885 1.03369e+06
3.41412 69836.8
1.24147 7952.66
1.76248 13390.2
3.5259 78095.9
1.50418 10342
1.59914 11372.3
-1.29517 629.308
-2.23286 246.394
1.5736 11085.6
3.00996 46618.5
-0.00152277 2294.5
3.96483 121130
-2.10197 280.852
3.20882 56875.4
0.35046 3262.52
0.733247 4784.05
1.15695 7308.12
5.67287 668414
1.37409 9080.48
-0.122813 2032.42
1.64354 11888.6
1.45151 9811.41
0.159313 2694.87
0.857829 5418.76
5.03955 354811
-1.23482 668.455
-0.741003 1095.31
-0.571562 1297.55
-4.69642 20.9758
2.22013 21161.3
0.906162 5687.1
-1.67315 431.232
1.47242 10018.8
3.02193 47179.9
-1.02992 820.467
0.676366 4519.52
2.40001 25331.5
5.27564 449297
1.28085 8272.09
-1.99293 313.208
-0.960584 879.374
2.1673 20072.3
2.79844 37730.7
0.145618 2658.22
-2.33005 223.573
-0.918194 917.452
-0.218267 1847.39
-4.50851 25.3122
-0.0744373 2133.15
6.48895 1.5117e+06
0.00520767 2310
2.32561 23515.3
2.77096 36708.3
3.96309 120920
-2.2307 246.926
0.188012 2773.34
2.3622 24391.6
-0.0681661 2146.57
-2.00381 309.818
5.62874 639557
3.62159 85937.8
-2.47758 192.909
2.61047 31265.4
0.0457551 2405.59
-2.45123 198.059
0.750269 4866.17
1.25672 8074.91
7.04877 2.64601e+06
2.43307 26182.9
0.805647 5143.25
2.53677 29043.9
3.42318 70472.4
-1.29317 630.568
0.0799899 2489.37
2.12329 19208.1
2.86924 40499.1
1.56313 10970
3.78046 100735
3.93023 117011
0.547161 3971.72
0.0934496 2523.1
4.71885 257467
1.90879 15499.8
2.67512 33353.4
0.0216628 2348.32
5.85728 803776
1.68608 12405.3
2.60313 31036.7
-4.30658 30.976
0.827265 5255.65
0.891097 5602.07
4.55878 219384
2.60445 31077.8
-1.43425 547.6
1.05815 6620.6
6.60273 1.69387e+06
5.29545 458284
1.24136 7951.79
2.1636 19998.2
2.20974 20942.4
4.32549 173734
-5.18845 12.8244
4.54349 216053
-8.3482 0.54422
-1.29095 631.974
2.11346 19020.2
-4.51599 25.1235
2.86834 40462.5
-0.47332 1431.49
4.3625 180285
-0.654928 1193.76
4.97481 332569
2.61915 31538
5.57355 605216
1.04329 6522.98
1.96277 16359.5
1.41919 9499.42
1.54736 10798.4
-2.23557 245.729
0.183638 2761.23
-1.73921 403.664
0.814688 5189.97
3.80496 103234
-2.59066 172.282
5.41716 517596
-1.61925 455.114
3.29175 61792.7
1.76373 13406.9
-2.97671 117.106
0.274533 3023.97
1.42036 9510.52
1.01905 6366.74
1.52098 10517.2
1.67102 12219.8
1.79926 13891.8
1.78826 13739.9
2.71929 34859.6
2.02834 17468.2
-0.905128 929.519
2.42316 25924.9
-1.2924 631.054
-4.38778 28.5602
-1.32673 609.76
1.41615 9470.59
0.533959 3919.63
-1.97815 317.871
-1.28374 636.545
3.56111 80895
4.27556 165273
2.5973 30856.2
-0.921007 914.875
2.71337 34654
2.73754 35501.6
1.27872 8254.5
-0.164271 1949.88
0.198441 2802.41
-3.31743 83.293
1.11312 6994.71
0.407595 3454.35
3.72118 94937.7
-3.13506 99.9566
-1.62686 451.664
3.02831 47481.9
0.251306 2954.55
-0.928859 907.719
7.38598 3.70717e+06
2.248 21759.2
0.0239094 2353.61
7.54945 4.36549e+06
-2.29778 230.906
0.0563613 2431.24
5.95785 888815
3.82647 105478
0.482748 3723.96
1.08276 6785.55
1.07012 6700.32
2.37346 24667.8
2.29325 22766.5
-1.69817 420.574
0.698001 4618.36
-1.06739 790.295
0.565851 4046.65
-0.852164 980.076
-2.3488 219.421
-1.40598 563.3
5.13258 389403
1.65057 11972.4
0.715763 4701.13
-0.596827 1265.18
1.58989 11267.5
-2.33535 222.393
-0.207296 1867.77
0.308276 3127.75
-0.495538 1400.04
0.597075 4175
-3.25639 88.5354
-1.81216 375.265
5.48653 554777
1.81214 14071.8
0.829277 5266.24
-0.681175 1162.84
4.19786 152918
-0.304177 1695.3
0.374624 3342.31
2.28879 22665.1
2.71176 34598.2
2.15634 19853.6
-1.60359 462.295
-0.688093 1154.82
1.78286 13665.9
-3.7987 51.4748
-1.89453 345.592
1.61672 11574
3.3821 67635.6
0.366083 3313.89
1.28004 8265.41
-2.58052 174.037
2.93283 43157.9
3.44185 71800.3
1.68535 12396.2
1.87848 15037.1
1.43424 9643.44
1.43197 9621.6
0.0805132 2490.67
0.214958 2849.08
-0.181484 1916.6
1.84508 14543.1
1.19484 7590.37
2.3634 24420.9
-3.83933 49.4255
5.31999 469670
-0.993243 851.119
5.4065 512112
-1.0635 793.376
1.10882 6964.7
-0.558306 1314.86
1.88078 15071.7
0.103751 2549.23
-1.39753 568.082
4.08789 136993
1.40863 9399.63
-0.252681 1784.89
6.61006 1.70633e+06
-0.513097 1375.67
-0.491778 1405.31
0.769799 4962.15
-1.5194 502.899
-3.81089 50.8511
-0.658448 1189.57
4.17099 148864
0.349725 3260.12
8.31016 9.34124e+06
4.66743 244563
-4.80793 18.7627
1.09294 6855
0.193343 2788.16
-0.122837 2032.37
2.43498 26233.1
2.79289 37522.1
2.39742 25266
-0.738461 1098.1
-0.188268 1903.65
1.22441 7818.13
2.55384 29543.8
0.712022 4683.57
-4.0886 38.5205
-2.479 192.635
1.90703 15472.5
-3.02821 111.228
-2.15445 266.491
1.7779 13598.2
-1.7986 380.389
1.14006 7185.77
2.71796 34813.1
4.31969 172730
0.63541 4338.16
0.307815 3126.31
2.47752 27373
1.07008 6700.08
-3.70565 56.4944
4.50777 208473
4.42202 191342
3.55099 80080.6
-1.44796 540.146
2.75286 36049.8
6.01148 937782
2.90088 41801.1
0.850568 5379.56
-3.43716 73.894
-1.18075 705.598
-2.2254 248.239
-0.0709756 2140.55
2.83184 39012.3
-1.63362 448.619
3.94411 118646
2.2648 22127.8
0.308965 3129.91
-1.40685 562.812
-2.51654 185.537
-3.71323 56.0679
-0.399323 1541.44
3.05148 48595
0.0266377 2360.04
-1.48137 522.395
4.09337 137745
-1.42787 551.102
4.41754 190486
1.13834 7173.4
2.09377 18649.4
2.00638 17088.8
4.27272 164805
2.77701 36931.1
-0.685816 1157.45
-2.03682 299.759
-1.55281 486.378
0.819128 5213.06
2.68872 33810.2
0.790665 5066.77
-1.29702 628.148
1.40956 9408.4
-1.03476 816.509
0.943739 5904.88
-0.171009 1936.79
2.41099 25611.1
0.282183 3047.2
5.87395 817286
2.15345 19796.2
1.21965 7781.02
-0.508175 1382.46
-0.113021 2052.42
6.54005 1.59095e+06
3.6139 85280.3
1.93295 15878.9
2.51531 28427.3
5.21594 423258
-1.19805 693.494
-0.0501368 2185.63
1.8776 15023.8
0.59379 4161.31
3.8983 113334
-1.2505 658.061
2.05527 17945
3.17948 55230.7
1.8176 14149
